Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_Small",132.500000,-83.900000,0.000000,top
"C2","0.1uF","C_0402_Small",132.500000,-85.100000,0.000000,top
"D1","GREEN","LED_0402_1005Metric",137.880000,-85.000000,180.000000,top
"D2","GREEN","LED_0402_1005Metric",139.000000,-102.300000,0.000000,top
"J1","BB-SPEM-A-1","BB-SPEM-A-1_Footprint",160.150000,-93.100000,0.000000,top
"J2","691210910002","TerminalBlock_WurthElektronik_691210910002_1x02_P2.54mm_Horizontal",118.700000,-77.430000,-90.000000,top
"J3","691210910002","TerminalBlock_WurthElektronik_691210910002_1x02_P2.54mm_Horizontal",172.670000,-73.700000,180.000000,top
"J4","691210910002","TerminalBlock_WurthElektronik_691210910002_1x02_P2.54mm_Horizontal",165.970000,-73.700000,180.000000,top
"J5","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",159.600000,-73.125000,0.000000,top
"J6","ARJM11D7-502-AB-EW2","ABRACON_ARJM11D7-502-AB-EW2",126.000000,-94.830000,-90.000000,top
"R1","1K","R_0402_1005Metric",135.980000,-85.000000,180.000000,top
"R2","2.2K","R_0402_1005Metric",141.280000,-102.300000,0.000000,top
